当座預金口座,返済期間,信用履歴,目的,借入金額,普通預金口座,雇用状況,性別など,保証人など,資産,年齢,その他借入,住居,仕事,電話番号,審査結果
0DM未満,42,遅延なく返済中,家具など,7882,100DM未満,勤続4年以上7年未満,男性／独身,保証人,生命保険など,45,なし,家族と同居,正社員,登録あり,安全
200DM未満,48,遅延なく返済中,ラジオ／テレビ,5951,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,22,なし,家主,正社員,,リスクあり
0DM未満,24,遅延あり,新車,4870,100DM未満,勤続1年以上4年未満,男性／独身,なし,なし,53,なし,家族と同居,正社員,,リスクあり
口座なし,36,遅延なく返済中,教育,9055,口座なし,勤続1年以上4年未満,男性／独身,なし,なし,35,なし,家族と同居,パート/アルバイト,,安全
口座なし,24,遅延なく返済中,家具など,2835,500～1000DM,勤続7年以上,男性／独身,なし,生命保険など,53,なし,家主,正社員,,安全
200DM未満,36,遅延なく返済中,中古車,6948,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,35,なし,賃貸,管理者/役員,登録あり,安全
口座なし,12,遅延なく返済中,ラジオ／テレビ,3059,1000DM以上,勤続4年以上7年未満,男性／離婚・別居,なし,不動産,61,なし,家主,パート/アルバイト,,安全
0DM未満,6,要注意人物,ラジオ／テレビ,1169,口座なし,勤続7年以上,男性／独身,なし,不動産,67,なし,家主,正社員,登録あり,安全
口座なし,12,要注意人物,教育,2096,100DM未満,勤続4年以上7年未満,男性／独身,なし,不動産,49,なし,家主,パート/アルバイト,,安全
200DM未満,30,要注意人物,新車,5234,100DM未満,失業中,男性／既婚・未亡人,なし,その他資産,28,なし,家主,管理者/役員,,リスクあり
200DM未満,12,遅延なく返済中,新車,1295,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,その他資産,25,なし,賃貸,正社員,,リスクあり
0DM未満,48,遅延なく返済中,仕事,4308,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,24,なし,賃貸,正社員,,リスクあり
200DM未満,12,遅延なく返済中,ラジオ／テレビ,1567,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,22,なし,家主,正社員,登録あり,安全
0DM未満,24,要注意人物,新車,1199,100DM未満,勤続7年以上,男性／独身,なし,その他資産,60,なし,家主,パート/アルバイト,,リスクあり
0DM未満,15,遅延なく返済中,新車,1403,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,28,なし,賃貸,正社員,,安全
0DM未満,24,遅延なく返済中,ラジオ／テレビ,1282,100～500DM,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,32,なし,家主,パート/アルバイト,,リスクあり
口座なし,24,要注意人物,ラジオ／テレビ,2424,口座なし,勤続7年以上,男性／独身,なし,生命保険など,53,なし,家主,正社員,,安全
0DM未満,30,借金なし,仕事,8072,口座なし,勤続１年未満,男性／独身,なし,その他資産,25,銀行,家主,正社員,,安全
200DM未満,24,遅延なく返済中,中古車,12579,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,なし,44,なし,家族と同居,管理者/役員,登録あり,リスクあり
口座なし,24,遅延なく返済中,ラジオ／テレビ,3430,500～1000DM,勤続7年以上,男性／独身,なし,その他資産,31,なし,家主,正社員,登録あり,安全
口座なし,9,要注意人物,新車,2134,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,48,なし,家主,正社員,登録あり,安全
0DM未満,6,遅延なく返済中,ラジオ／テレビ,2647,500～1000DM,勤続1年以上4年未満,男性／独身,なし,不動産,44,なし,賃貸,正社員,,安全
0DM未満,10,要注意人物,新車,2241,100DM未満,勤続１年未満,男性／独身,なし,不動産,48,なし,賃貸,パート/アルバイト,,安全
200DM未満,12,要注意人物,中古車,1804,100～500DM,勤続１年未満,男性／独身,なし,生命保険など,44,なし,家主,正社員,,安全
